T->N%, TraceRecall_T,  TraceRecall_NT,
56,11,25,[40-60[
40,20,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
52,17,26,[40-60[
58,5,21,[40-60[
50,,25,[40-60[
56,22,25,[40-60[
53,10,20,[40-60[
50,,24,[40-60[
43,28,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,,23,[40-60[
47,15,23,[40-60[
50,50,25,[40-60[
42,41,25,[40-60[
50,,24,[40-60[
50,12,25,[40-60[
57,21,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,10,24,[40-60[
43,,24,[40-60[
50,16,24,[40-60[
40,3,21,[40-60[
50,,25,[40-60[
50,,23,[40-60[
50,50,24,[40-60[
50,,25,[40-60[
50,,23,[40-60[
50,,23,[40-60[
57,,23,[40-60[
50,50,25,[40-60[
50,,23,[40-60[
50,,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,12,24,[40-60[
48,17,26,[40-60[
50,50,25,[40-60[
44,22,23,[40-60[
50,,24,[40-60[
40,20,25,[40-60[
43,42,25,[40-60[
57,28,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,12,22,[40-60[
57,,24,[40-60[
40,80,24,[40-60[
50,16,24,[40-60[
58,10,21,[40-60[
50,,25,[40-60[
40,30,23,[40-60[
50,8,25,[40-60[
43,28,25,[40-60[
57,14,24,[40-60[
50,50,24,[40-60[
50,,25,[40-60[
40,10,23,[40-60[
50,,23,[40-60[
57,14,25,[40-60[
47,5,21,[40-60[
50,,25,[40-60[
40,20,25,[40-60[
44,,24,[40-60[
58,8,25,[40-60[
40,20,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
43,28,23,[40-60[
43,30,26,[40-60[
57,,24,[40-60[
57,14,23,[40-60[
50,,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
48,13,26,[40-60[
50,3,19,[40-60[
50,,25,[40-60[
43,,25,[40-60[
56,,25,[40-60[
50,,24,[40-60[
40,20,25,[40-60[
79,14,24,[60-80[
60,,23,[60-80[
67,,23,[60-80[
75,25,25,[60-80[
75,12,25,[60-80[
60,60,24,[60-80[
75,,25,[60-80[
67,,25,[60-80[
71,42,25,[60-80[
60,60,24,[60-80[
60,20,25,[60-80[
71,,23,[60-80[
67,,24,[60-80[
79,5,22,[60-80[
60,20,25,[60-80[
75,8,25,[60-80[
67,,25,[60-80[
71,14,23,[60-80[
78,,25,[60-80[
75,,24,[60-80[
63,37,25,[60-80[
75,,25,[60-80[
71,14,25,[60-80[
74,,23,[60-80[
60,10,23,[60-80[
78,,25,[60-80[
75,12,25,[60-80[
67,33,25,[60-80[
63,5,21,[60-80[
60,,25,[60-80[
75,,25,[60-80[
78,,24,[60-80[
63,5,20,[60-80[
75,,25,[60-80[
71,14,26,[60-80[
67,16,25,[60-80[
60,10,23,[60-80[
61,13,26,[60-80[
67,,25,[60-80[
67,,25,[60-80[
67,,24,[60-80[
74,5,22,[60-80[
78,11,25,[60-80[
60,20,25,[60-80[
79,,24,[60-80[
70,13,26,[60-80[
60,,24,[60-80[
67,16,24,[60-80[
75,,23,[60-80[
67,,24,[60-80[
79,5,22,[60-80[
75,,24,[60-80[
67,,25,[60-80[
67,,24,[60-80[
79,,21,[60-80[
75,,25,[60-80[
79,14,24,[60-80[
79,,24,[60-80[
63,12,24,[60-80[
71,,24,[60-80[
60,40,24,[60-80[
67,,24,[60-80[
67,0,25,[60-80[
67,,25,[60-80[
75,25,25,[60-80[
67,11,25,[60-80[
90,9,26,[80-100]
100,,25,[80-100]
91,4,26,[80-100]
80,,24,[80-100]
95,,24,[80-100]
86,,26,[80-100]
88,0,25,[80-100]
100,,25,[80-100]
86,,25,[80-100]
86,,25,[80-100]
86,14,24,[80-100]
93,,24,[80-100]
100,,25,[80-100]
96,,26,[80-100]
87,,21,[80-100]
86,,25,[80-100]
88,,24,[80-100]
100,,25,[80-100]
80,,25,[80-100]
89,,25,[80-100]
89,,21,[80-100]
80,,25,[80-100]
86,,25,[80-100]
83,,25,[80-100]
100,,25,[80-100]
91,4,26,[80-100]
80,,24,[80-100]
80,20,25,[80-100]
86,,25,[80-100]
95,,22,[80-100]
86,14,25,[80-100]
93,,24,[80-100]
100,,25,[80-100]
86,,25,[80-100]
100,,25,[80-100]
81,,26,[80-100]
100,,25,[80-100]
87,,22,[80-100]
86,,25,[80-100]
86,,24,[80-100]
100,,25,[80-100]
80,20,24,[80-100]
83,16,24,[80-100]
89,,23,[80-100]
80,20,25,[80-100]
80,,25,[80-100]
89,,25,[80-100]
86,,25,[80-100]
89,,25,[80-100]
83,16,25,[80-100]
80,,23,[80-100]
100,,25,[80-100]
86,14,25,[80-100]
80,,25,[80-100]
90,,25,[80-100]
84,5,22,[80-100]
83,8,25,[80-100]
14,28,25,]0-20[
14,28,23,]0-20[
17,50,25,]0-20[
10,30,23,]0-20[
14,28,25,]0-20[
14,19,25,]0-20[
8,58,25,]0-20[
14,28,23,]0-20[
10,30,22,]0-20[
11,33,25,]0-20[
14,,23,]0-20[
10,30,22,]0-20[
5,28,25,]0-20[
7,35,24,]0-20[
14,42,24,]0-20[
17,50,24,]0-20[
7,6,17,]0-20[
17,41,25,]0-20[
14,33,25,]0-20[
14,14,23,]0-20[
17,41,25,]0-20[
14,42,25,]0-20[
14,28,23,]0-20[
13,37,25,]0-20[
17,58,25,]0-20[
14,42,24,]0-20[
14,28,23,]0-20[
13,37,25,]0-20[
5,33,25,]0-20[
10,10,23,]0-20[
14,57,25,]0-20[
11,15,22,]0-20[
0,57,25,0
0,50,25,0
0,33,25,0
0,50,24,0
0,100,24,0
0,58,25,0
0,50,25,0
0,10,23,0
0,,23,0
0,12,22,0
0,,25,0
0,42,23,0
0,39,26,0
0,42,24,0
0,80,24,0
0,66,24,0
0,28,23,0
0,15,19,0
0,6,17,0
0,50,25,0
0,40,25,0
0,30,22,0
0,0,24,0
0,,23,0
0,22,23,0
0,28,23,0
0,25,23,0
0,33,24,0
0,,24,0
0,31,19,0
0,33,25,0
0,41,25,0
0,,23,0
0,60,25,0
32,30,33,[20-40[
37,18,31,[20-40[
34,34,37,[20-40[
37,16,32,[20-40[
35,9,37,[20-40[
20,20,40,[20-40[
36,25,33,[20-40[
23,25,31,[20-40[
29,52,36,[20-40[
22,33,39,[20-40[
20,38,33,[20-40[
37,25,32,[20-40[
36,19,34,[20-40[
33,33,38,[20-40[
29,38,36,[20-40[
32,28,32,[20-40[
33,44,39,[20-40[
34,23,31,[20-40[
33,33,38,[20-40[
25,8,38,[20-40[
33,23,37,[20-40[
37,25,33,[20-40[
20,10,36,[20-40[
33,33,38,[20-40[
29,16,37,[20-40[
36,35,33,[20-40[
33,33,38,[20-40[
33,22,39,[20-40[
20,34,33,[20-40[
26,30,34,[20-40[
26,19,37,[20-40[
23,40,37,[20-40[
58,15,34,[40-60[
50,20,39,[40-60[
44,11,39,[40-60[
49,18,33,[40-60[
50,8,38,[40-60[
58,11,35,[40-60[
48,12,38,[40-60[
40,9,31,[40-60[
50,8,38,[40-60[
57,15,34,[40-60[
43,28,33,[40-60[
55,6,38,[40-60[
51,23,32,[40-60[
58,,38,[40-60[
59,20,33,[40-60[
58,9,31,[40-60[
52,23,36,[40-60[
50,15,37,[40-60[
50,10,34,[40-60[
50,5,35,[40-60[
44,44,39,[40-60[
61,17,35,[60-80[
67,,39,[60-80[
77,4,34,[60-80[
74,7,35,[60-80[
67,,39,[60-80[
70,5,35,[60-80[
67,33,38,[60-80[
64,11,37,[60-80[
60,10,40,[60-80[
74,7,35,[60-80[
65,4,32,[60-80[
60,,40,[60-80[
78,,39,[60-80[
70,5,35,[60-80[
67,,39,[60-80[
76,14,37,[60-80[
68,9,37,[60-80[
72,3,33,[60-80[
60,5,37,[60-80[
68,4,37,[60-80[
60,,40,[60-80[
65,0,37,[60-80[
67,6,32,[60-80[
67,,39,[60-80[
77,0,38,[60-80[
