,Show startmenu,,Desktop icon,,Switch the desktop,,Resize the taskbar,,Show and update the clock,,Search for program,,Manage quick launch items,,Taskbar settings,,Change window size,,Show desktop,,"Manage file sytem, drive, directories and files",,Run... dialog,,Drag and drop,,Manage tray icons,,Persistent user state,,General Purpose Code,
ClockWindow::FormatTime,0,7,0,7,0,7,0,7,5,2,0,7,0,7,0,7,0,6,0,6,1,6,0,7,0,7,0,7,0,7,2,5
ClockWindow::Notify,0,7,0,7,0,7,0,7,4,2,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::Paint,0,7,0,7,0,7,0,7,5,1,0,7,0,7,0,7,1,6,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::TimerTick,0,7,0,7,0,7,0,7,5,1,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::WndProc,0,6,0,6,0,6,0,6,4,1,0,6,0,5,0,6,0,5,0,6,0,6,0,6,0,5,0,5,0,6,1,5
CollectProgramsThread::CollectProgramsThread,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,2,0
CollectProgramsThread::collect_programs,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,2,0
CollectProgramsThread::free_dirs,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,1,0
CollectProgramsThread::Run,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,2,0
CollectProgramsThread::~CollectProgramsThread,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,0
ColorStatic::ColorStatic,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,2
ColorStatic::WndProc,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,2,1
COMException::COMException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMException::toString,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::COMExceptionBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::Error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::ErrorMessage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComInit::ComInit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComInit::~ComInit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommonDesktop::CommonDesktop,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::init,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::operator ShellFolder,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::~CommonDesktop,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonShellMalloc::CommonShellMalloc,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
CommonShellMalloc::init,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
CommonShellMalloc::operator IMalloc *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommonShellMalloc::~CommonShellMalloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConnectionPoint::ConnectionPoint,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
CtlColorParent::CtlColorParent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
